BJD - 2454833, Corrected Flux
2310.779185884, 0.806907209,
2310.799618010, 0.808344278,
2310.820050234, 0.809350144,
2310.840482259, 0.809518853,
2310.860914482, 0.809695223,
2310.881346605, 0.809783734,
2310.901778628, 0.809616482,
2310.922210851, 0.810265839,
2310.942642973, 0.811223850,
2310.963074994, 0.812822562,
2310.983507215, 0.812534817,
2311.003939336, 0.813515002,
2311.024371356, 0.814181424,
2311.044803576, 0.815427790,
2311.065235695, 0.815410170,
2311.085667714, 0.814806804,
2311.106099932, 0.814792546,
2311.126532050, 0.815559349,
2311.146964068, 0.815834437,
2311.167396284, 0.814307207,
2311.187828401, 0.811263465,
2311.228692633, 0.820421127,
2311.249124748, 0.815628476,
2311.269556763, 0.810941579,
2311.289988977, 0.809338521,
2311.310421091, 0.809301062,
2311.330853105, 0.808420731,
2311.351285318, 0.802277539,
2311.371717430, 0.787402144,
2311.392149642, 0.787317940,
2311.412581654, 0.801117671,
2311.433013766, 0.802690491,
2311.453445976, 0.802294490,
2311.473877987, 0.801131367,
2311.494310097, 0.800739707,
2311.514742306, 0.799133571,
2311.535174315, 0.800820421,
2311.555606424, 0.802087156,
2311.576038632, 0.800611779,
2311.596470739, 0.800335913,
2311.616902747, 0.801815838,
2311.637334954, 0.802176595,
2311.657767060, 0.802628935,
2311.678199066, 0.800928649,
2311.719063376, 0.810687636,
2311.739495381, 0.809678885,
2311.759927585, 0.810370979,
2311.780359689, 0.810199929,
2311.800791692, 0.808603651,
2311.821223895, 0.807248406,
2311.841655998, 0.806970939,
2311.862088100, 0.806292969,
2311.882520201, 0.807910901,
2311.902952202, 0.810518893,
2311.923384403, 0.811140248,
2311.943816503, 0.810192272,
2311.964248503, 0.811217331,
2311.984680702, 0.813616364,
2312.005112801, 0.814660513,
2312.025544899, 0.815144575,
2312.045976997, 0.815418883,
2312.066409095, 0.818921514,
2312.086841192, 0.826079356,
2312.107273289, 0.825381037,
2312.127705385, 0.826141320,
2312.148137481, 0.824510207,
2312.168569676, 0.822264441,
2312.209433765, 0.812857009,
2312.229865960, 0.811336241,
2312.250297954, 0.809237082,
2312.270730047, 0.798457599,
2312.291162239, 0.786412334,
2312.311594231, 0.791529251,
2312.332026324, 0.802140610,
2312.352458515, 0.802311187,
2312.372890506, 0.802148409,
2312.393322697, 0.802679188,
2312.413754787, 0.804935438,
2312.454618966, 0.810619765,
2312.475051055, 0.810878179,
2312.495483143, 0.810495231,
2312.515915231, 0.811555453,
2312.536347319, 0.812103055,
2312.556779406, 0.812725136,
2312.577211492, 0.810341829,
2312.597643579, 0.811017097,
2312.618075565, 0.812003438,
2312.638507750, 0.813313031,
2312.658939835, 0.813691192,
2312.679371819, 0.812662989,
2312.699804003, 0.812897424,
2312.720236087, 0.813581747,
2312.740668071, 0.813737640,
